SchoolYear,Sector,SubSector,SRCSchoolID,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2019-2020,District,District,101,John Bartram High School,Network 13,09,144,18,12.50,126,87.50,36,25.00,108,75.00,60,41.67,84,58.33,0,0.00,12,8.33,114,79.17,13,9.03,5,3.47,0,0.00,0,0.00,
2019-2020,District,District,101,John Bartram High School,Network 13,10,150,15,10.00,135,90.00,41,27.33,109,72.67,70,46.67,80,53.33,0,0.00,6,4.00,130,86.67,9,6.00,3,2.00,0,0.00,2,1.33,
2019-2020,District,District,101,John Bartram High School,Network 13,11,117,13,11.11,104,88.89,26,22.22,91,77.78,51,43.59,66,56.41,0,0.00,4,3.42,106,90.60,5,4.27,2,1.71,0,0.00,0,0.00,
2019-2020,District,District,101,John Bartram High School,Network 13,12,134,12,8.96,122,91.04,40,29.85,94,70.15,56,41.79,78,58.21,1,0.75,9,6.72,119,88.81,4,2.99,1,0.75,0,0.00,0,0.00,
2019-2020,District,District,101,John Bartram High School,Network 13,All Grades,545,58,10.64,487,89.36,143,26.24,402,73.76,237,43.49,308,56.51,1,0.18,31,5.69,469,86.06,31,5.69,11,2.02,0,0.00,2,0.37,100.00
2019-2020,District,District,102,West Philadelphia High School,Network 13,09,117,2,1.71,115,98.29,41,35.04,76,64.96,40,34.19,77,65.81,0,0.00,2,1.71,103,88.03,2,1.71,9,7.69,0,0.00,1,0.85,
2019-2020,District,District,102,West Philadelphia High School,Network 13,10,106,2,1.89,104,98.11,38,35.85,68,64.15,35,33.02,71,66.98,0,0.00,0,0.00,100,94.34,0,0.00,6,5.66,0,0.00,0,0.00,
2019-2020,District,District,102,West Philadelphia High School,Network 13,11,95,2,2.11,93,97.89,42,44.21,53,55.79,35,36.84,60,63.16,0,0.00,2,2.11,87,91.58,0,0.00,5,5.26,0,0.00,1,1.05,
2019-2020,District,District,102,West Philadelphia High School,Network 13,12,97,0,0.00,97,100.00,18,18.56,79,81.44,55,56.70,42,43.30,0,0.00,0,0.00,92,94.85,1,1.03,3,3.09,0,0.00,1,1.03,
2019-2020,District,District,102,West Philadelphia High School,Network 13,All Grades,415,6,1.45,409,98.55,139,33.49,276,66.51,165,39.76,250,60.24,0,0.00,4,0.96,382,92.05,3,0.72,23,5.54,0,0.00,3,0.72,100.00
