SchoolYear,Sector,SubSector,ULCSCode,SchoolName,LearningNetwork,GradeLevel,StudentEnrollment,ELCount,ELPCT,NotELCount,NotELPCT,IEPCount,IEPPCT,NotIEPCount,NotIEPPCT,FemaleCount,FemalePCT,MaleCount,MalePCT,AmericanIndianCount,AmericanIndianPCT,AsianCount,AsianPCT,BlackAfricanAmericanCount,BlackAfricanAmericanPCT,HispanicCount,HispanicPCT,MultiRaceCount,MultiRacePCT,PacificIslanderCount,PacificIslanderPCT,WhiteCount,WhitePCT,CEPEconomicallyDisadvantagedRate
2020-2021,District,District,1010,John Bartram High School,Network 13,09,81,10,12.35,71,87.65,34,41.98,47,58.02,36,44.44,45,55.56,0,0.00,3,3.70,66,81.48,7,8.64,5,6.17,0,0.00,0,0.00,
2020-2021,District,District,1010,John Bartram High School,Network 13,10,139,19,13.67,120,86.33,40,28.78,99,71.22,56,40.29,83,59.71,0,0.00,7,5.04,116,83.45,14,10.07,2,1.44,0,0.00,0,0.00,
2020-2021,District,District,1010,John Bartram High School,Network 13,11,136,21,15.44,115,84.56,35,25.74,101,74.26,67,49.26,69,50.74,0,0.00,3,2.21,122,89.71,7,5.15,2,1.47,0,0.00,2,1.47,
2020-2021,District,District,1010,John Bartram High School,Network 13,12,99,11,11.11,88,88.89,30,30.30,69,69.70,46,46.46,53,53.54,1,1.01,4,4.04,87,87.88,5,5.05,2,2.02,0,0.00,0,0.00,
2020-2021,District,District,1010,John Bartram High School,Network 13,All Grades,455,61,13.41,394,86.59,139,30.55,316,69.45,205,45.05,250,54.95,1,0.22,17,3.74,391,85.93,33,7.25,11,2.42,0,0.00,2,0.44,100.00
2020-2021,District,District,1020,West Philadelphia High School,Network 13,09,65,4,6.15,61,93.85,32,49.23,33,50.77,25,38.46,40,61.54,0,0.00,0,0.00,58,89.23,1,1.54,5,7.69,0,0.00,1,1.54,
2020-2021,District,District,1020,West Philadelphia High School,Network 13,10,111,2,1.80,109,98.20,41,36.94,70,63.06,40,36.04,71,63.96,0,0.00,2,1.80,100,90.09,2,1.80,7,6.31,0,0.00,0,0.00,
2020-2021,District,District,1020,West Philadelphia High School,Network 13,11,101,2,1.98,99,98.02,40,39.60,61,60.40,29,28.71,72,71.29,0,0.00,0,0.00,93,92.08,0,0.00,7,6.93,0,0.00,1,0.99,
2020-2021,District,District,1020,West Philadelphia High School,Network 13,12,96,2,2.08,94,97.92,40,41.67,56,58.33,41,42.71,55,57.29,0,0.00,3,3.13,88,91.67,0,0.00,4,4.17,0,0.00,1,1.04,
2020-2021,District,District,1020,West Philadelphia High School,Network 13,All Grades,373,10,2.68,363,97.32,153,41.02,220,58.98,135,36.19,238,63.81,0,0.00,5,1.34,339,90.88,3,0.80,23,6.17,0,0.00,3,0.80,100.00
2020-2021,District,District,1030,High School of the Future,Innovation,09,256,8,3.13,248,96.88,45,17.58,211,82.42,124,48.44,132,51.56,0,0.00,3,1.17,229,89.45,10,3.91,9,3.52,0,0.00,5,1.95,
2020-2021,District,District,1030,High School of the Future,Innovation,10,178,3,1.69,175,98.31,23,12.92,155,87.08,100,56.18,78,43.82,0,0.00,2,1.12,164,92.13,7,3.93,5,2.81,0,0.00,0,0.00,
2020-2021,District,District,1030,High School of the Future,Innovation,11,182,7,3.85,175,96.15,46,25.27,136,74.73,84,46.15,98,53.85,1,0.55,1,0.55,159,87.36,7,3.85,14,7.69,0,0.00,0,0.00,
2020-2021,District,District,1030,High School of the Future,Innovation,12,139,1,0.72,138,99.28,42,30.22,97,69.78,73,52.52,66,47.48,0,0.00,2,1.44,131,94.24,3,2.16,2,1.44,0,0.00,1,0.72,
2020-2021,District,District,1030,High School of the Future,Innovation,All Grades,755,19,2.52,736,97.48,156,20.66,599,79.34,381,50.46,374,49.54,1,0.13,8,1.06,683,90.46,27,3.58,30,3.97,0,0.00,6,0.79,100.00
2020-2021,District,District,1050,Paul Robeson High School for Human Services,Network 1,09,73,7,9.59,66,90.41,14,19.18,59,80.82,46,63.01,27,36.99,0,0.00,2,2.74,66,90.41,3,4.11,1,1.37,0,0.00,1,1.37,
2020-2021,District,District,1050,Paul Robeson High School for Human Services,Network 1,10,87,3,3.45,84,96.55,12,13.79,75,86.21,42,48.28,45,51.72,0,0.00,0,0.00,83,95.40,1,1.15,3,3.45,0,0.00,0,0.00,
2020-2021,District,District,1050,Paul Robeson High School for Human Services,Network 1,11,80,1,1.25,79,98.75,18,22.50,62,77.50,48,60.00,32,40.00,0,0.00,0,0.00,74,92.50,0,0.00,6,7.50,0,0.00,0,0.00,
2020-2021,District,District,1050,Paul Robeson High School for Human Services,Network 1,12,72,1,1.39,71,98.61,10,13.89,62,86.11,40,55.56,32,44.44,0,0.00,2,2.78,70,97.22,0,0.00,0,0.00,0,0.00,0,0.00,
2020-2021,District,District,1050,Paul Robeson High School for Human Services,Network 1,All Grades,312,12,3.85,300,96.15,54,17.31,258,82.69,176,56.41,136,43.59,0,0.00,4,1.28,293,93.91,4,1.28,10,3.21,0,0.00,1,0.32,100.00
2020-2021,District,District,1100,William L. Sayre High School,Network 13,09,87,1,1.15,86,98.85,38,43.68,49,56.32,43,49.43,44,50.57,0,0.00,1,1.15,78,89.66,0,0.00,8,9.20,0,0.00,0,0.00,
2020-2021,District,District,1100,William L. Sayre High School,Network 13,10,115,1,0.87,114,99.13,45,39.13,70,60.87,41,35.65,74,64.35,1,0.87,0,0.00,101,87.83,1,0.87,11,9.57,0,0.00,1,0.87,
2020-2021,District,District,1100,William L. Sayre High School,Network 13,11,102,3,2.94,99,97.06,45,44.12,57,55.88,50,49.02,52,50.98,1,0.98,3,2.94,92,90.20,1,0.98,5,4.90,0,0.00,0,0.00,
2020-2021,District,District,1100,William L. Sayre High School,Network 13,12,89,1,1.12,88,98.88,46,51.69,43,48.31,35,39.33,54,60.67,0,0.00,1,1.12,82,92.13,3,3.37,3,3.37,0,0.00,0,0.00,
2020-2021,District,District,1100,William L. Sayre High School,Network 13,All Grades,393,6,1.53,387,98.47,174,44.27,219,55.73,169,43.00,224,57.00,2,0.51,5,1.27,353,89.82,5,1.27,27,6.87,0,0.00,1,0.25,100.00
2020-2021,District,District,1130,William T. Tilden School,Network 10,05,36,1,2.78,35,97.22,5,13.89,31,86.11,18,50.00,18,50.00,0,0.00,3,8.33,32,88.89,0,0.00,1,2.78,0,0.00,0,0.00,
2020-2021,District,District,1130,William T. Tilden School,Network 10,06,104,18,17.31,86,82.69,29,27.88,75,72.12,54,51.92,50,48.08,0,0.00,8,7.69,80,76.92,10,9.62,3,2.88,0,0.00,3,2.88,
2020-2021,District,District,1130,William T. Tilden School,Network 10,07,103,22,21.36,81,78.64,25,24.27,78,75.73,42,40.78,61,59.22,1,0.97,4,3.88,80,77.67,16,15.53,2,1.94,0,0.00,0,0.00,
2020-2021,District,District,1130,William T. Tilden School,Network 10,08,102,17,16.67,85,83.33,18,17.65,84,82.35,45,44.12,57,55.88,0,0.00,3,2.94,86,84.31,10,9.80,1,0.98,0,0.00,2,1.96,
2020-2021,District,District,1130,William T. Tilden School,Network 10,All Grades,345,58,16.81,287,83.19,77,22.32,268,77.68,159,46.09,186,53.91,1,0.29,18,5.22,278,80.58,36,10.43,7,2.03,0,0.00,5,1.45,100.00
2020-2021,District,District,1190,Motivation High School,Network 1,09,127,15,11.81,112,88.19,25,19.69,102,80.31,61,48.03,66,51.97,0,0.00,1,0.79,109,85.83,10,7.87,4,3.15,0,0.00,3,2.36,
