"placekey","parent_placekey","location_name","brands","latitude","longitude","street_address","city","region","postal_code","iso_country_code","polygon_wkt","polygon_class","includes_parking_lot","is_synthetic","building_height","enclosed"
227-222@628-p77-v4v,,Alpha House Nursery & Kindergarten,,40.059184,-74.988615,9801 Frankford Ave,Philadelphia,PA,19114,US,"POLYGON ((-74.98899111649621 40.05927893768899, -74.98862499496568 40.05949346607485, -74.98843992254365 40.05947191062163, -74.98835110387631 40.059275669466395, -74.98834275147942 40.05913485635978, -74.98839974842099 40.05909123199164, -74.98853251776723 40.05906762349836, -74.9887256368163 40.05904298854016, -74.98899111649621 40.05927893768899))",OWNED_POLYGON,true,false,,false
zzw-222@628-pp5-d9z,,Mastbaum Jules E Avts,,39.992992,-75.112623,3116 Frankford Ave,Philadelphia,PA,19134,US,"POLYGON ((-75.11280101599993 39.992800432000024, -75.11278561799998 39.992870469000025, -75.11274236799994 39.99289383100006, -75.11292795299994 39.993089835000035, -75.11264682899997 39.993241692000026, -75.11221379899996 39.99278434800004, -75.11224983999995 39.99276487900005, -75.11241056499995 39.99278504100005, -75.11241467099995 39.99276636400003, -75.11271139299998 39.99280358300007, -75.11271447199994 39.992789576000064, -75.11280101599993 39.992800432000024))",OWNED_POLYGON,false,false,,false
22k-222@628-p8m-vmk,,Gracie Phila Brazilian JiuJitsu,,40.028972,-75.056299,6443 Frankford Ave,Philadelphia,PA,19135,US,"POLYGON ((-75.05625475799997 40.02895207300003, -75.05631091899994 40.02891568900003, -75.05643095899995 40.02904961200005, -75.05637292499995 40.029087211000046, -75.05625475799997 40.02895207300003))",SHARED_POLYGON,false,false,,false
222-225@628-pgy-kcq,222-224@628-pgy-kj9,Amerikick,,40.062844,-75.235285,8500 Henry Ave,Philadelphia,PA,19128,US,"POLYGON ((-75.23550996295806 40.06260811376223, -75.23508413877639 40.06309476996984, -75.23455175656136 40.06262652309917, -75.2347207357293 40.06251156588936, -75.23462819951828 40.06243047988369, -75.23499533304897 40.06218516846871, -75.23535072574344 40.06250232824802, -75.23537218341556 40.062483852961584, -75.23550996295806 40.06260811376223))",SHARED_POLYGON,false,false,,false
222-222@628-p8t-grk,,Free Library of Philadelphia Katharine Drexel Branch,,40.083956,-74.973454,11099 Knights Rd,Philadelphia,PA,19154,US,"POLYGON ((-74.97321605199994 40.08391671700008, -74.97331623699995 40.08379246000004, -74.97372561299994 40.08398030400008, -74.97357805799999 40.08416331500007, -74.97316867999996 40.08397547100003, -74.97321605199994 40.08391671700008))",OWNED_POLYGON,false,false,,false
zzw-222@628-pj5-dvz,,Edison Hs Fareira Skills,,40.011864,-75.129313,151 W Luzerne St,Philadelphia,PA,19140,US,"POLYGON ((-75.12824458699998 40.01241191100007, -75.12829587899995 40.01217844400003, -75.12864834299995 40.01222259800005, -75.12870271099996 40.01197512400006, -75.12886966699995 40.01199603800006, -75.12892608499999 40.01173922400005, -75.12903120499993 40.01175239300005, -75.12903530899996 40.01173371600004, -75.12919607999999 40.01175385600004, -75.12923300799997 40.01158575900007, -75.12944942999997 40.01161287000008, -75.12946276599996 40.01155216800004, -75.13003164899999 40.01162342900005, -75.12980598599995 40.01265068400005, -75.12902066899994 40.012552312000025, -75.12893962999993 40.01292119000004, -75.12892107899995 40.012918866000064, -75.12891389799995 40.01295155100007, -75.12804819299998 40.01284310300008, -75.12805332199997 40.012819756000056, -75.12789254899997 40.01279961500006, -75.12794589399994 40.012556810000035, -75.12797062799996 40.01255990800007, -75.12799114599994 40.01246652200007, -75.12811481699998 40.012482015000046, -75.12824458699998 40.01241191100007))",OWNED_POLYGON,false,false,,false
zzw-222@628-p7x-qpv,,Lincoln Hs,,40.044199,-75.041209,3201 Ryan Ave,Philadelphia,PA,19136,US,"POLYGON ((-75.04109996599993 40.04372841300005, -75.04107615299995 40.04374825700006, -75.04119446699997 40.04382914200005, -75.04121232799997 40.043814258000054, -75.04131092299997 40.04388166000007, -75.04148629199995 40.043875111000034, -75.04148474299996 40.043851473000075, -75.04168516399994 40.04384398700006, -75.04168361499995 40.04382035000003, -75.04187150899998 40.04381333200007, -75.04186995999999 40.043789695000044, -75.04208290799994 40.04378174100003, -75.04208135699997 40.04375810300007, -75.04225672599995 40.04375155300005, -75.04225548599999 40.043732643000055, -75.04242459099999 40.04372632600007, -75.04242304099995 40.04370268900004, -75.04274872499997 40.04369052200008, -75.04275027499995 40.04371415900005, -75.04306343299999 40.04370245900003, -75.04305940199998 40.04364100300006, -75.04332245399996 40.04363117400004, -75.04332679599997 40.04369735800003, -75.04348337399995 40.04369150800005, -75.04348957499997 40.043786057000034, -75.04360857399996 40.04378161000005, -75.04364919199998 40.04440090400004, -75.04351766399998 40.044405819000076, -75.04352169499998 40.044467276000034, -75.04273252999997 40.04449676000007, -75.04273717999996 40.04456767100004, -75.04254301999998 40.04457492500006, -75.04254456999996 40.04459856200003, -75.04234414699994 40.04460604900004, -75.04234569599998 40.044629686000064, -75.04218911499999 40.044635535000054, -75.04219190499998 40.044678082000075, -75.04209169299997 40.044681826000044, -75.04209293299994 40.04470073500005, -75.04193008899995 40.044706818000066, -75.04192884899999 40.04468790800007, -75.04181611099995 40.044692120000036, -75.04181890099994 40.04473466600007, -75.04189120499996 40.04478409500007, -75.04180785899996 40.04485355500003, -75.04178813999994 40.044840073000046, -75.04172265199998 40.04489464900007, -75.04170293399994 40.044881168000074, -75.04164935299997 40.04492582000006, -75.04162963399995 40.04491234000005, -75.04155819299996 40.04497187700008, -75.04145302299997 40.044899980000025, -75.04147683599996 40.04488013500003, -75.04138481099994 40.04481722500003, -75.04140267199995 40.044802341000036, -75.04129092799997 40.04472595200008, -75.04130878799998 40.044711068000026, -75.04123648399997 40.044661639000026, -75.04126029699995 40.04464179300004, -75.04118141899994 40.04458787100003, -75.04119927899995 40.04457298700004, -75.04112697499994 40.04452355800004, -75.04115078799998 40.04450371300004, -75.04107848399997 40.04445428300005, -75.04109634399998 40.044439399000055, -75.04102403999997 40.044389970000054, -75.04104189999998 40.04437508600006, -75.04097616799999 40.044330151000054, -75.04099402799994 40.04431526700006, -75.04093487099993 40.04427482500006, -75.04095273099995 40.04425994200005, -75.04088699899995 40.04421500600006, -75.04090485999996 40.04420012200006, -75.04083912899995 40.04415518600007, -75.04086294199993 40.04413534100007, -75.04077749199996 40.04407692500007, -75.04080130499995 40.04405707900003, -75.04072243 40.04400315700008, -75.04074028899998 40.043988273000025, -75.04066798599996 40.043938844000024, -75.04068584599997 40.04392396000003, -75.04062011499997 40.043879024000034, -75.04063797399994 40.04386414000004, -75.04057881799997 40.04382369800004, -75.04059667799999 40.043808814000045, -75.04053094699998 40.04376387900004, -75.04052568099996 40.04368351200003, -75.04048810099994 40.04368491500003, -75.04048128399995 40.04358091100005, -75.04052512699997 40.04357927500007, -75.04052326799996 40.04355091000008, -75.04069863499996 40.043544361000045, -75.04075816899996 40.04349474800006, -75.04077788799998 40.043508229000054, -75.04083741999995 40.04345861500008, -75.04093601499994 40.04352601800008, -75.04091815599998 40.043540903000064, -75.04099045899994 40.043590331000075, -75.04096664599996 40.04361017700006, -75.04105209499994 40.043668592000074, -75.04103423499998 40.04368347700006, -75.04109996599993 40.04372841300005), (-75.04151641899995 40.04423888900004, -75.04155399799998 40.04423748600004, -75.04155709699995 40.04428476100003, -75.04158841399999 40.04428359000008, -75.04159213299994 40.04434032000006, -75.04162971199997 40.04433891600007, -75.04163312099996 40.04439091800003, -75.04175212199993 40.04438647300003, -75.04174220499993 40.044235195000056, -75.04170462499997 40.044236599000044, -75.04169563699998 40.04409950300004, -75.04148268899996 40.04410745700005, -75.04148733799997 40.044178369000065, -75.04151239 40.04417743300007, -75.04151641899995 40.04423888900004), (-75.04215446399996 40.044011279000074, -75.04215508399994 40.04402073500006, -75.04201102999997 40.044026115000065, -75.04202063799994 40.044172666000065, -75.04205821799997 40.04417126300007, -75.04206720699995 40.04430835800008, -75.04234905099997 40.04429783000006, -75.04233944099997 40.04415128000005, -75.04230186199999 40.04415268300005, -75.04229225299997 40.04400613200005, -75.04215446399996 40.044011279000074), (-75.04281395699996 40.04401507700004, -75.04288911499998 40.04401226900006, -75.04289996499995 40.04417773000006, -75.04283106999998 40.044180303000076, -75.04283603099998 40.04425594300005, -75.04331203299995 40.04423815800004, -75.04329219099998 40.04393560300008, -75.04280992699995 40.043953620000025, -75.04281395699996 40.04401507700004))",OWNED_POLYGON,false,false,,false
22z-222@628-ph6-v75,,The Science Leadership Academy At Beeber,,39.986449,-75.242166,5925 Malvern Ave,Philadelphia,PA,19131,US,"POLYGON ((-75.24257705999997 39.98653986800008, -75.24259057299997 39.986557161000064, -75.24217086599998 39.98674429500005, -75.24216185799997 39.986732767000035, -75.24187187599995 39.98686205900003, -75.24154757299993 39.986447025000075, -75.24231830499997 39.98610338100008, -75.24230479299996 39.98608608700005, -75.24242688799995 39.98603164900004, -75.24276020499997 39.986458209000034, -75.24257705999997 39.98653986800008))",SHARED_POLYGON,false,false,,false
222-222@628-phd-ndv,,Methodist Services,,39.997857,-75.214956,4300 Monument Rd,Philadelphia,PA,19131,US,"POLYGON ((-75.21542837565232 39.9981932116588, -75.21380832140733 39.99857128381698, -75.21372249071885 39.9981192407743, -75.21444668715287 39.99751103268619, -75.21527280752946 39.99741240383712, -75.21542837565232 39.9981932116588))",OWNED_POLYGON,true,false,,false
222-222@628-pp5-dy9,zzz-222@628-pp5-dy9,Free Library of Philadelphia McPherson Square Branch,,39.994844,-75.118866,601 E Indiana Ave,Philadelphia,PA,19134,US,"POLYGON ((-75.11891954499998 39.99498303400003, -75.11883217699994 39.99489868000006, -75.11874143499995 39.994952296000065, -75.11865952699998 39.99487321500004, -75.11875724999999 39.99481547500005, -75.11871902699994 39.99477857000005, -75.11882372899998 39.99471670500003, -75.11886195199997 39.99475361000003, -75.11896665399996 39.99469174500007, -75.11903764099998 39.99476028300006, -75.11901256699997 39.99491532300004, -75.11904988799995 39.99491876600007, -75.11903773099993 39.99499393700006, -75.11891954499998 39.99498303400003))",OWNED_POLYGON,false,false,,false
zzw-223@628-pgb-3dv,,CAIR Philadelphia,,39.955889,-75.165225,1501 Cherry St,Philadelphia,PA,19102,US,"POLYGON ((-75.16510105399993 39.95644955600005, -75.16511012399997 39.95642199800005, -75.16507973499995 39.956416286000035, -75.16511752899999 39.95630145800004, -75.16516615299997 39.95631059800007, -75.16522359999993 39.95613606100005, -75.16507164999996 39.95610750000003, -75.16506711599999 39.95612128000005, -75.16492732099994 39.956095004000076, -75.16496813899994 39.95597099100007, -75.16493167099998 39.955964136000034, -75.16497551399993 39.95583093600004, -75.16499982499994 39.95583550600003, -75.16504517799996 39.95569771400005, -75.16532476299994 39.95575026600005, -75.16528545799997 39.95586968600003, -75.16532192599993 39.95587654000008, -75.16524331499994 39.95611538000003, -75.16537702999995 39.956140514000026, -75.16531807199993 39.956319644000075, -75.16537277399993 39.95632992600008, -75.16543626799995 39.95613701600007, -75.16554567199995 39.956157580000024, -75.16542926699998 39.95651124700004, -75.16510105399993 39.95644955600005))",SHARED_POLYGON,false,false,,false
zzw-224@628-pj5-3yv,,Free Library of Philadelphia Nicetown Tioga Branch,,40.009994,-75.151426,3720 North Brd St,Philadelphia,PA,19140,US,"POLYGON ((-75.15129127399996 40.00989767500005, -75.15129415899997 40.00987717400005, -75.15133688999998 40.009887055000036, -75.15161113299996 40.00990906200008, -75.15158993899996 40.010059675000036, -75.15124713499995 40.01003216600003, -75.15125778999999 40.00995645800003, -75.15127087299999 40.00989603700003, -75.15129127399996 40.00989767500005))",OWNED_POLYGON,false,false,,false
22f-223@628-pmb-nt9,,Temple University Gallery,,39.955464,-75.144305,259 N 3rd St,Philadelphia,PA,19106,US,"POLYGON ((-75.14424191799998 39.95545124900008, -75.14443664599997 39.955476117000046, -75.14442562199997 39.95552638700008, -75.14412671599996 39.95548790500004, -75.14413716599995 39.95544152000008, -75.14421358699997 39.95545109100004, -75.14424191799998 39.95545124900008))",SHARED_POLYGON,false,false,,false
22m-222@628-pg3-xyv,,Chelten Christian Crusade Little People Day School,,40.043519,-75.167405,605 E Chelten Ave,Philadelphia,PA,19144,US,"POLYGON ((-75.16726712221873 40.043304897725825, -75.16757289404643 40.04348867567141, -75.1674065970875 40.0436354923334, -75.16709680194629 40.04345582154989, -75.16726712221873 40.043304897725825))",OWNED_POLYGON,true,false,,false
zzw-222@628-pfw-gc5,,Mifflin Thomas Sch,,40.013551,-75.191622,3624 Conrad St,Philadelphia,PA,19129,US,"POLYGON ((-75.19155856999998 40.01375172300004, -75.19157508199999 40.01373598200007, -75.19146390699996 40.01366948000003, -75.19148041999995 40.01365373900006, -75.19135323299997 40.01357765900008, -75.19162215799997 40.013394220000066, -75.19180127099997 40.01327419100005, -75.19185529699996 40.01330718200006, -75.19169653699998 40.013458514000035, -75.19191888899996 40.013591520000034, -75.19198494199998 40.01352855700003, -75.19206137499998 40.01357427800008, -75.19199532299996 40.01363724000004, -75.19197447799996 40.013624771000025, -75.19195245899994 40.01364575900004, -75.19199415099996 40.013670697000066, -75.19192259299996 40.01373890600007, -75.19188090299997 40.01371396800005, -75.19179833599998 40.01379267100003, -75.19177748999994 40.01378020100003, -75.19171143699998 40.013843164000036, -75.19155856999998 40.01375172300004))",OWNED_POLYGON,false,false,,false
zzw-222@628-pgb-bff,,Bache Martin Sch,,39.969837,-75.173593,2201 Brown St,Philadelphia,PA,19130,US,"POLYGON ((-75.17347389499997 39.97004544300006, -75.17350583799998 39.96982430300005, -75.17345601899996 39.96982019500007, -75.17346417499994 39.969763733000036, -75.17348421599996 39.969755863000046, -75.17340325999999 39.96974918800004, -75.17339578399998 39.96980094400004, -75.17335219199998 39.96979735000008, -75.17334335699996 39.969858516000045, -75.17323749099995 39.969849787000044, -75.17327368999997 39.96959917700008, -75.17371333299997 39.96965295100006, -75.17369525699996 39.96977809500004, -75.17363425099995 39.97005866500007, -75.17347389499997 39.97004544300006))",OWNED_POLYGON,false,false,,false
23g-222@628-p7v-h89,,SAFE Driving School,,40.058016,-75.064981,1802 Afton St,Philadelphia,PA,19111,US,"POLYGON ((-75.06505134299994 40.057973967000066, -75.06494784299997 40.05808289700008, -75.06490671599994 40.05805824300006, -75.06501705699998 40.05795341400005, -75.06505134299994 40.057973967000066))",OWNED_POLYGON,false,false,,false
22b-222@63s-dvy-zzz,,The Restaurant School At Walnut Hill College,,39.955126,-75.207583,4207 Walnut St,Philadelphia,PA,19104,US,"POLYGON ((-75.2077663230479 39.955498862055755, -75.20697775359753 39.9553693320571, -75.20708772416714 39.95480392046015, -75.20788702245358 39.95489027453376, -75.2077663230479 39.955498862055755))",OWNED_POLYGON,true,false,,false
236-222@628-pgb-7h5,,St Francis Xavier School,,39.966505,-75.176738,641 N 24th St,Philadelphia,PA,19130,US,"POLYGON ((-75.17637811850983 39.966709919680945, -75.17639689397294 39.96656711459444, -75.17632447432953 39.96654676422947, -75.17636470746476 39.9663683669695, -75.17661012958962 39.966392770873675, -75.17672680568177 39.96584774308182, -75.17726592969376 39.96590818014429, -75.17707951616723 39.966807128884604, -75.17637811850983 39.966709919680945))",OWNED_POLYGON,true,false,,false
2bp-222@628-pmb-v75,,The Jiu Jitsu Company,,39.949039,-75.143519,31 S 2nd St Fl 2,Philadelphia,PA,19106,US,"POLYGON ((-75.14342680499993 39.94900963600003, -75.14355687799997 39.94902704000003, -75.14355823899996 39.94903072000005, -75.14369961799997 39.94904943300003, -75.14370031299995 39.94904653800006, -75.14383134799994 39.94906399400003, -75.14382339899998 39.949102432000075, -75.14341852199993 39.949047877000055, -75.14342680499993 39.94900963600003))",OWNED_POLYGON,false,false,,false
