Event,Start,End,Category
Contact Organizations,5/1/2021,7/1/2021,Researcher
Meet with Vietlead Leadership,9/15/2021,9/15/2021,Vietlead
Begin working with Vietlead,9/29/2021,9/29/2021,Vietlead
Apply for IRB,1/1/2022,2/1/2022,Researcher
Vietlead interviews,2/1/2022,8/31/2022,Vietlead
VietLead Field Notes,1/1/2022,8/31/2022,Vietlead
VietLead Research Agreement Finalized,1/30/2022,1/30/2022,Vietlead
Meet with AAU Leadership,7/1/2022,8/30/2022,AAU
Finalize AAU Research Agreement,9/1/2022,8/30/2023,AAU
Begin working with AAU,9/1/2022,8/30/2023,AAU
AAU field Notes,9/1/2022,8/30/2023,AAU
AAU Interviews,9/1/2022,8/30/2023,AAU
Data Analysis,9/1/2021,10/30/2023,Researcher
Data Collection Process,9/1/2021,9/1/2023,Researcher
