"",".y.","group1","group2","n1","n2","p","p.signif","p.adj","p.adj.signif","Variable"
"1","Values","East_Asian_Cluster","Filipino_Asian_Cluster",22,6,0.021,"*",0.168,"ns","Median income in the past 12 months Total"
"2","Values","East_Asian_Cluster","Filipino_Asian_Cluster",20,6,0.0363,"*",0.327,"ns","Median earnings in the past 12 months Total"
"3","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.0249,"*",0.249,"ns","Median year structure built"
"4","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.0342,"*",0.307,"ns","$100+K_Income"
"5","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.0143,"*",0.143,"ns","Bachelor_more_Edu_Attainment"
"6","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.0484,"*",0.435,"ns","Bachelor_more_Edu_Attainment"
"7","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.0283,"*",0.283,"ns","Black_Race"
"8","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.0323,"*",0.291,"ns","Black_Race"
"9","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.0255,"*",0.255,"ns","Some_HS_or_less_Edu_Attainment"
"10","Values","AAPI_Cluster","Filipino_Asian_Cluster",34,6,0.029,"*",0.232,"ns","white_Race"
"11","Values","East_Asian_Cluster","Filipino_Asian_Cluster",23,6,0.0349,"*",0.244,"ns","white_Race"
"12","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.0168,"*",0.168,"ns","white_Race"
"13","Values","AAPI_Cluster","Southeast_Asian_Cluster",34,12,0.0417,"*",0.25,"ns","white_Race"
"14","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.0244,"*",0.22,"ns","white_Race"
"15","Values","East_Asian_Cluster","SouthAsian_Cluster",23,14,0.0413,"*",0.34,"ns","Tutoring_nnAve"
"16","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.0378,"*",0.34,"ns","Tutoring_nnAve"
"17","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.0271,"*",0.271,"ns","Tutoring_nnAve"
"18","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.0451,"*",0.451,"ns","Intervene_nnAve"
"19","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.0309,"*",0.309,"ns","Reinforce_nnAve"
"20","Values","East_Asian_Cluster","SouthAsian_Cluster",22,14,0.00838,"**",0.0754,"ns","Median income in the past 12 months Total"
"21","Values","East_Asian_Cluster","Southeast_Asian_Cluster",22,12,0.00591,"**",0.0591,"ns","Median income in the past 12 months Total"
"22","Values","East_Asian_Cluster","Southeast_Asian_Cluster",20,12,0.00606,"**",0.0606,"ns","Median earnings in the past 12 months Total"
"23","Values","East_Asian_Cluster","Southeast_Asian_Cluster",23,12,0.0092,"**",0.092,"ns","$100+K_Income"
"24","Values","AAPI_Cluster","East_Asian_Cluster",33,22,0.0728,"ns",0.51,"ns","Median income in the past 12 months Total"
"25","Values","AAPI_Cluster","Filipino_Asian_Cluster",33,6,0.192,"ns",0.94,"ns","Median income in the past 12 months Total"
"26","Values","AAPI_Cluster","SouthAsian_Cluster",33,14,0.188,"ns",0.94,"ns","Median income in the past 12 months Total"
"27","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.744,"ns",1,"ns","Median income in the past 12 months Total"
"28","Values","AAPI_Cluster","Southeast_Asian_Cluster",33,12,0.131,"ns",0.786,"ns","Median income in the past 12 months Total"
"29","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.89,"ns",1,"ns","Median income in the past 12 months Total"
"30","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.818,"ns",1,"ns","Median income in the past 12 months Total"
"31","Values","AAPI_Cluster","East_Asian_Cluster",31,20,0.0881,"ns",0.617,"ns","Median earnings in the past 12 months Total"
"32","Values","AAPI_Cluster","Filipino_Asian_Cluster",31,6,0.27,"ns",1,"ns","Median earnings in the past 12 months Total"
"33","Values","AAPI_Cluster","SouthAsian_Cluster",31,14,0.639,"ns",1,"ns","Median earnings in the past 12 months Total"
"34","Values","East_Asian_Cluster","SouthAsian_Cluster",20,14,0.0671,"ns",0.537,"ns","Median earnings in the past 12 months Total"
"35","Values","Filipino_Asian_Cluster","SouthAsian_Cluster",6,14,0.483,"ns",1,"ns","Median earnings in the past 12 months Total"
"36","Values","AAPI_Cluster","Southeast_Asian_Cluster",31,12,0.12,"ns",0.718,"ns","Median earnings in the past 12 months Total"
"37","Values","Filipino_Asian_Cluster","Southeast_Asian_Cluster",6,12,0.938,"ns",1,"ns","Median earnings in the past 12 months Total"
"38","Values","SouthAsian_Cluster","Southeast_Asian_Cluster",14,12,0.333,"ns",1,"ns","Median earnings in the past 12 months Total"
"39","Values","AAPI_Cluster","East_Asian_Cluster",32,21,0.479,"ns",1,"ns","Median number of rooms"
"40","Values","AAPI_Cluster","Filipino_Asian_Cluster",32,6,0.623,"ns",1,"ns","Median number of rooms"
"41","Values","East_Asian_Cluster","Filipino_Asian_Cluster",21,6,0.966,"ns",1,"ns","Median number of rooms"
"42","Values","AAPI_Cluster","SouthAsian_Cluster",32,14,0.95,"ns",1,"ns","Median number of rooms"
"43","Values","East_Asian_Cluster","SouthAsian_Cluster",21,14,0.604,"ns",1,"ns","Median number of rooms"
