"","x"
"1",3
"2",3
"3",4
"4",4
"5",3
"6",3
"7",4
"8",4
"9",4
"10",3
"11",4
"12",1
"13",4
"14",4
"15",3
"16",3
"17",3
"18",3
"19",3
"20",4
"21",4
"22",3
"23",4
"24",4
"25",3
"26",3
"27",3
"28",3
"29",4
"30",4
"31",3
"32",3
"33",4
"34",3
"35",4
"36",3
"37",1
"38",3
"39",4
"40",3
"41",4
"42",3
"43",4
"44",3
"45",3
"46",3
"47",3
"48",3
"49",1
"50",3
"51",4
"52",3
"53",4
"54",1
"55",3
"56",4
"57",1
"58",3
"59",3
"60",3
"61",4
"62",3
"63",3
"64",4
"65",1
"66",4
"67",3
"68",3
"69",4
"70",3
"71",4
"72",3
"73",3
"74",3
"75",3
"76",3
"77",3
"78",3
"79",3
"80",3
"81",3
"82",1
"83",3
"84",3
"85",3
"86",4
"87",3
"88",3
"89",3
"90",1
"91",3
"92",3
"93",3
"94",4
"95",3
"96",3
"97",4
"98",3
"99",3
"100",3
"101",4
"102",3
"103",3
"104",3
"105",1
"106",3
"107",3
"108",3
"109",3
"110",3
"111",3
"112",3
"113",3
"114",3
"115",1
"116",3
"117",4
"118",3
"119",1
"120",3
"121",3
"122",3
"123",3
"124",3
"125",3
"126",4
"127",4
"128",3
"129",3
"130",4
"131",3
"132",3
"133",1
"134",4
"135",3
"136",4
"137",2
"138",4
"139",3
"140",3
"141",3
"142",4
"143",3
"144",3
"145",3
"146",3
"147",3
"148",3
"149",4
"150",3
"151",3
"152",3
"153",3
"154",4
"155",3
"156",3
"157",3
"158",3
"159",3
"160",3
"161",3
"162",3
"163",3
"164",4
"165",3
"166",3
"167",3
"168",1
"169",1
"170",1
"171",3
"172",4
"173",4
"174",3
"175",3
"176",3
"177",3
"178",3
"179",4
"180",4
"181",4
"182",3
"183",4
"184",3
"185",3
"186",3
"187",4
"188",3
"189",4
"190",4
"191",3
"192",3
"193",3
"194",3
"195",4
"196",3
"197",3
"198",3
"199",3
"200",3
"201",3
"202",4
"203",3
"204",3
"205",3
"206",3
"207",3
"208",3
"209",4
"210",3
"211",3
"212",3
"213",3
"214",4
"215",3
"216",4
"217",3
"218",4
"219",3
"220",4
"221",3
"222",3
"223",3
"224",3
"225",3
"226",3
"227",4
"228",3
"229",3
"230",1
"231",3
"232",3
"233",3
"234",1
"235",3
"236",4
"237",3
"238",3
"239",3
"240",3
"241",3
"242",4
"243",3
"244",3
"245",3
"246",2
"247",1
"248",4
"249",3
"250",3
"251",3
"252",3
"253",3
"254",1
"255",3
"256",3
"257",4
"258",3
"259",4
"260",1
"261",3
"262",3
"263",3
"264",3
"265",4
"266",3
"267",3
"268",3
"269",3
"270",4
"271",3
"272",3
"273",4
"274",1
"275",3
"276",3
"277",3
"278",3
"279",3
"280",3
"281",4
"282",3
"283",3
"284",3
"285",3
"286",4
"287",3
"288",3
"289",3
"290",3
"291",3
"292",3
"293",3
"294",3
"295",3
"296",3
"297",3
"298",3
"299",4
"300",3
"301",4
"302",4
"303",3
"304",3
"305",3
"306",3
"307",3
"308",4
"309",3
"310",3
"311",4
"312",4
"313",4
"314",4
"315",3
"316",3
"317",3
"318",4
"319",3
"320",4
"321",3
"322",3
"323",1
"324",4
"325",1
"326",3
"327",3
"328",3
"329",3
"330",4
"331",3
"332",4
"333",3
"334",3
"335",4
"336",4
"337",3
"338",3
"339",3
"340",3
"341",4
"342",3
"343",3
"344",3
"345",3
"346",3
"347",3
"348",3
"349",3
"350",3
"351",4
"352",3
"353",3
"354",3
"355",4
"356",3
"357",3
"358",3
"359",3
"360",3
"361",4
"362",3
"363",4
"364",3
"365",3
"366",3
"367",3
"368",3
"369",3
"370",3
"371",3
"372",3
"373",3
"374",3
"375",1
"376",3
"377",4
"378",1
"379",3
"380",4
"381",4
"382",3
"383",1
"384",1
